"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"11";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"03 - Essencial à Justiça";6269870015,73;8569324;"03"
"12";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"03.092 - Representação Judicial e Extrajudicial";431266492,71;8569324;"03.092"
"13";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"03.122 - Administração Geral";4311735500,02;8569324;"03.122"
"14";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU03 - Demais Subfunções";1526868023;8569324;"FU03"
"15";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04 - Administração";28432540093,04;8569324;"04"
"16";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.121 - Planejamento e Orçamento";336364416,12;8569324;"04.121"
"17";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.122 - Administração Geral";21045378434,3;8569324;"04.122"
"18";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.123 - Administração Financeira";36884302,48;8569324;"04.123"
"19";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.124 - Controle Interno";89674401,88;8569324;"04.124"
"20";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.125 - Normatização e Fiscalização";233382385,87;8569324;"04.125"
"21";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.126 - Tecnologia da Informação";2296105256,65;8569324;"04.126"
"22";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.127 - Ordenamento Territorial";75781002,24;8569324;"04.127"
"23";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.128 - Formação de Recursos Humanos";13247204,42;8569324;"04.128"
"24";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.129 - Administração de Receitas";401110857,96;8569324;"04.129"
"25";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"04.131 - Comunicação Social";320712793,22;8569324;"04.131"
"26";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU04 - Demais Subfunções";3583899037,9;8569324;"FU04"
"27";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"05 - Defesa Nacional";76353395575,28;8569324;"05"
"28";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"05.151 - Defesa Área";5761224056,75;8569324;"05.151"
"29";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"05.152 - Defesa Naval";6035816240,72;8569324;"05.152"
"30";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"05.153 - Defesa Terrestre";2525020941,87;8569324;"05.153"
"31";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"05.122 - Administração Geral";52924393165,8;8569324;"05.122"
"32";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU05 - Demais Subfunções";9106941170,14;8569324;"FU05"
"33";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"06 - Segurança Pública";11361983138,16;8569324;"06"
"34";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"06.181 - Policiamento";3095995430,12;8569324;"06.181"
"35";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"06.182 - Defesa Civil";1407879190,31;8569324;"06.182"
"36";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"06.183 - Informação e Inteligência";119269705,48;8569324;"06.183"
"37";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"06.122 - Administração Geral";6402751473,27;8569324;"06.122"
"38";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU06 - Demais Subfunções";336087338,98;8569324;"FU06"
"39";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"07 - Relações Exteriores";3105523999,83;8569324;"07"
"40";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"07.211 - Relações Diplomáticas";916560797,04;8569324;"07.211"
"41";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"07.212 - Cooperação Internacional";29981839,46;8569324;"07.212"
"42";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"07.122 - Administração Geral";1492239411,05;8569324;"07.122"
"43";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU07 - Demais Subfunções";666741952,28;8569324;"FU07"
"44";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"08 - Assistência Social";88659559462,75;8569324;"08"
"45";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"08.241 - Assistência ao Idoso";23944411204,85;8569324;"08.241"
"46";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"08.242 - Assistência ao Portador de Deficiência";31223284524,98;8569324;"08.242"
"47";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"08.243 - Assistência à Criança e ao Adolescente";280333597,81;8569324;"08.243"
"48";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"08.244 - Assistência Comunitária";31968261114,75;8569324;"08.244"
"49";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"08.122 - Administração Geral";226279814,33;8569324;"08.122"
"50";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU08 - Demais Subfunções";1016989206,03;8569324;"FU08"
"51";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"09 - Previdência Social";683312854462,01;8569324;"09"
"52";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"09.271 - Previdência Básica";575187510526,06;8569324;"09.271"
"53";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"09.272 - Previdência do Regime Estatutário";100754048695,29;8569324;"09.272"
"54";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"09.273 - Previdência Complementar";847751,88;8569324;"09.273"
"55";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"09.274 - Previdência Especial";130746350,71;8569324;"09.274"
"56";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"09.122 - Administração Geral";4859340303,27;8569324;"09.122"
"57";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU09 - Demais Subfunções";2380360834,8;8569324;"FU09"
"58";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10 - Saúde";119050309189,83;8569324;"10"
"59";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.301 - Atenção Básica";21391928471,28;8569324;"10.301"
"60";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.302 - Assistência Hospitalar e Ambulatorial";52491388545,45;8569324;"10.302"
"61";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.303 - Suporte Profilático e Terapêutico";14673159590,12;8569324;"10.303"
"62";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.304 - Vigilância Sanitária";324340381,29;8569324;"10.304"
"63";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.305 - Vigilância Epidemiológica";7517998544,07;8569324;"10.305"
"64";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.306 - Alimentação e Nutrição";50308210,82;8569324;"10.306"
"65";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"10.122 - Administração Geral";15909659474,57;8569324;"10.122"
"66";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU10 - Demais Subfunções";6691525972,23;8569324;"FU10"
"67";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"11 - Trabalho";72378099121,72;8569324;"11"
"68";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"11.331 - Proteção e Benefícios ao Trabalhador";53628471938,56;8569324;"11.331"
"69";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"11.332 - Relações de Trabalho";12391588,49;8569324;"11.332"
"70";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"11.333 - Empregabilidade";49391711,24;8569324;"11.333"
"71";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"11.334 - Fomento ao Trabalho";18079151114,85;8569324;"11.334"
"72";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"11.122 - Administração Geral";334756776,48;8569324;"11.122"
"73";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU11 - Demais Subfunções";273935992,1;8569324;"FU11"
"74";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12 - Educação";98040748459,02;8569324;"12"
"75";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12.363 - Ensino Profissional";12216010846,08;8569324;"12.363"
"76";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12.364 - Ensino Superior";33433854879,86;8569324;"12.364"
"77";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12.365 - Educação Infantil";176261791,9;8569324;"12.365"
"78";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12.366 - Educação de Jovens e Adultos";64909710,32;8569324;"12.366"
"79";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12.368 - Educação Básica";6319444865,05;8569324;"12.368"
"80";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"12.122 - Administração Geral";1099845151,05;8569324;"12.122"
"81";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU12 - Demais Subfunções";44730421214,76;8569324;"FU12"
"82";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"13 - Cultura";1925133171,45;8569324;"13"
"83";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";192965070,25;8569324;"13.391"
"84";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"13.392 - Difusão Cultural";418486118,65;8569324;"13.392"
"85";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"13.122 - Administração Geral";668438971,88;8569324;"13.122"
"86";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU13 - Demais Subfunções";645243010,67;8569324;"FU13"
"87";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"14 - Direitos da Cidadania";1522914546,57;8569324;"14"
"88";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"14.421 - Custódia e Reintegração Social";376891580,82;8569324;"14.421"
"89";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"14.422 - Direitos Individuais, Coletivos e Difusos";354082716,61;8569324;"14.422"
"90";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"14.423 - Assistência aos Povos Indígenas";45625350,76;8569324;"14.423"
"91";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"14.122 - Administração Geral";460046835,7;8569324;"14.122"
"92";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU14 - Demais Subfunções";286268062,68;8569324;"FU14"
"93";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"15 - Urbanismo";5327120637,25;8569324;"15"
"94";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"15.451 - Infraestrutura Urbana";2306859530,42;8569324;"15.451"
"95";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"15.452 - Serviços Urbanos";99213979,27;8569324;"15.452"
"96";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"15.453 - Transportes Coletivos Urbanos";950423138,52;8569324;"15.453"
"97";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"15.122 - Administração Geral";860462236,74;8569324;"15.122"
"98";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU15 - Demais Subfunções";1110161752,3;8569324;"FU15"
"99";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"16 - Habitação";18530684,98;8569324;"16"
"100";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"16.482 - Habitação Urbana";8829029,98;8569324;"16.482"
"101";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU16 - Demais Subfunções";9701655;8569324;"FU16"
"102";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"17 - Saneamento";921136878,35;8569324;"17"
"103";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"17.512 - Saneamento Básico Urbano";921136878,35;8569324;"17.512"
"104";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"18 - Gestão Ambiental";4426511498,01;8569324;"18"
"105";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"18.541 - Preservação e Conservação Ambiental";633637032,35;8569324;"18.541"
"106";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"18.542 - Controle Ambiental";62127276,26;8569324;"18.542"
"107";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"18.543 - Recuperação de Áreas Degradadas";14519993,76;8569324;"18.543"
"108";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"18.544 - Recursos Hídricos";2204188217,51;8569324;"18.544"
"109";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"18.122 - Administração Geral";1324586430,42;8569324;"18.122"
"110";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU18 - Demais Subfunções";187452547,71;8569324;"FU18"
"111";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"19 - Ciência e Tecnologia";7123693032,63;8569324;"19"
"112";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"19.571 - Desenvolvimento Científico";2195328859,55;8569324;"19.571"
"113";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"19.572 - Desenvolvimento Tecnológico e Engenharia";1986998680,71;8569324;"19.572"
"114";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"19.573 - Difusão do Conhecimento Científico e Tecnológico";23946991,28;8569324;"19.573"
"115";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"19.122 - Administração Geral";2052018498,62;8569324;"19.122"
"116";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU19 - Demais Subfunções";865400002,47;8569324;"FU19"
"117";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20 - Agricultura";21723902714,87;8569324;"20"
"118";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20.605 - Abastecimento";5880073704,78;8569324;"20.605"
"119";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20.606 - Extensão Rural";6023287,63;8569324;"20.606"
"120";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20.607 - Irrigação";161535566,83;8569324;"20.607"
"121";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20.608 - Promoção da Produção Agropecuária";9762256411,49;8569324;"20.608"
"122";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20.609 - Defesa Agropecuária";32695295,49;8569324;"20.609"
"123";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"20.122 - Administração Geral";4978244016,09;8569324;"20.122"
"124";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU20 - Demais Subfunções";903074432,56;8569324;"FU20"
"125";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"21 - Organização Agrária";2594091107,78;8569324;"21"
"126";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"21.631 - Reforma Agrária";871901947,88;8569324;"21.631"
"127";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"21.122 - Administração Geral";798562012,23;8569324;"21.122"
"128";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU21 - Demais Subfunções";923627147,67;8569324;"FU21"
"129";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"22 - Indústria";2032279772,54;8569324;"22"
"130";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"22.661 - Promoção Industrial";13464617,82;8569324;"22.661"
"131";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"22.663 - Mineração";28721917,09;8569324;"22.663"
"132";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"22.665 - Normalização e Qualidade";21636535,68;8569324;"22.665"
"133";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"22.122 - Administração Geral";1446389642,03;8569324;"22.122"
"134";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"FU22 - Demais Subfunções";522067059,92;8569324;"FU22"
"135";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"23 - Comércio e Serviços";4607688289,63;8569324;"23"
"136";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"23.691 - Promoção Comercial";32424522,52;8569324;"23.691"
"137";2018;"Governo Federal";1;"BR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"23.693 - Comércio Exterior";3085771327,45;8569324;"23.693"
