"";"exercicio";"demonstrativo";"periodo";"periodicidade";"instituicao";"cod_ibge";"uf";"populacao";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor"
"24";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"Impostos";"Impostos";87630129753,33
"25";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"Impostos";"Impostos";17,58
"26";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"Impostos";"Impostos";87630129753
"27";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"Impostos";"Impostos";17,58
"28";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"Impostos";"Impostos";410746663881
"29";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"Taxas";"Taxas";7852446871
"30";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"Taxas";"Taxas";7852446871
"31";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"Taxas";"Taxas";984330164,25
"32";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"Taxas";"Taxas";12,54
"33";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"Taxas";"Taxas";984330164
"34";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"Taxas";"Taxas";12,54
"35";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"Taxas";"Taxas";6868116707
"36";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";792634516777
"37";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";792634516777
"38";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";129357930609,14
"39";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";16,32
"40";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";129357930609
"41";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";16,32
"42";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaDeContribuicoes";"RECEITA DE CONTRIBUIÇÕES";663276586168
"43";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ContribuicoesSociais";"Contribuições Sociais";776390408338
"44";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ContribuicoesSociais";"Contribuições Sociais";776390408338
"45";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ContribuicoesSociais";"Contribuições Sociais";126984734438,66
"46";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ContribuicoesSociais";"Contribuições Sociais";16,36
"47";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ContribuicoesSociais";"Contribuições Sociais";126984734439
"48";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ContribuicoesSociais";"Contribuições Sociais";16,36
"49";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ContribuicoesSociais";"Contribuições Sociais";649405673899
"50";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";16244108439
"51";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";16244108439
"52";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";2373196170,48
"53";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";14,61
"54";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";2373196170
"55";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";14,61
"56";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ContribuicaoDeIntervencaoNoDominioEconomico";"Contribuição Econômicas";13870912269
"57";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";83282128678
"58";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";83282128678
"59";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";13084030283
"60";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";15,71
"61";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";13084030287
"62";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";15,71
"63";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaPatrimonial";"RECEITA PATRIMONIAL";70198098391
"64";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";12069524728
"65";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";12069524728
"66";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";272146324
"67";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";2,25
"68";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";272146324
"69";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";2,25
"70";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitasImobiliarias";"Exploração do Patrimônio Imobiliário do Estado";11797378404
"71";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";27374841370
"72";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";27374841370
"73";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";4741012589
"74";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";17,32
"75";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";4741012590
"76";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";17,32
"77";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitasDeValoresMobiliarios";"Valores Mobiliários";22633828780
"78";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";7605215873
"79";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";7605215873
"80";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";63157474
"81";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";0,83
"82";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";63157475
"83";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";0,83
"84";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaDeConcessoesEPermissoes";"Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";7542058398
"85";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";34755011657
"86";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";34755011657
"87";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";7634004868
"88";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";21,97
"89";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";7634004869
"90";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";21,97
"91";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ExploracaoDeRecursosNaturais";"Exploração de Recursos Naturais";27121006788
"92";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";2426
"93";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";2426
"94";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";150
"95";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";6,18
"96";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";150
"97";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";6,18
"98";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ExploracaoDoPatrimonioIntangivel";"Exploração do Patrimônio Intangível";2276
"99";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";1471514773
"100";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";1471514773
"101";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";371816564
"102";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";25,27
"103";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";371816565
"104";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";25,27
"105";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaDaCessaoDeDireitos";"Cessão de Direitos";1099698208
"106";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";6017851
"107";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";6017851
"108";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";1892314
"109";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";31,45
"110";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";1892314
"111";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";31,45
"112";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"OutrasReceitasPatrimoniais";"Demais Receitas Patrimoniais";4125537
"113";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";28674726
"114";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";28674726
"115";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";2775596
"116";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";9,68
"117";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";2775597
"118";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";9,68
"119";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaAgropecuaria";"RECEITA AGROPECUÁRIA";25899129
"120";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaIndustrial";"RECEITA INDUSTRIAL";1735136764
"121";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaIndustrial";"RECEITA INDUSTRIAL";1735136764
"122";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaIndustrial";"RECEITA INDUSTRIAL";123480669
"123";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaIndustrial";"RECEITA INDUSTRIAL";7,12
"124";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaIndustrial";"RECEITA INDUSTRIAL";123480669
"125";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaIndustrial";"RECEITA INDUSTRIAL";7,12
"126";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaIndustrial";"RECEITA INDUSTRIAL";1611656095
"127";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";37168892591
"128";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";37168892591
"129";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";9278860134
"130";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";24,96
"131";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";9278860137
"132";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";24,96
"133";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaDeServicos";"RECEITA DE SERVIÇOS";27890032454
"134";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";4405526022
"135";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";4405526022
"136";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";624543247
"137";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";14,18
"138";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";624543248
"139";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";14,18
"140";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ServicosAdministrativosEComerciaisGerais";"Serviços Administrativos e Comerciais Gerais";3780982774
"141";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ServicosEAtividadesReferentesANavegacaoEAoTransporte";"Serviços e Atividades Referentes à Navegação e ao Transporte";2832047055
